Assembly	Strain	MLST	KL	serotype	complete_phage_sensitivity	Highwayman	Silvergun	Fanak	PhT2-v2	Dino	Fishpie	Margaret	Rocket	KissB	Navy4-v2	Tama	Porter	ABW132	ABW311	Konradin-v2
Aci1	Aci 1	ST2	KL3	ST2 KL3	TRUE	10.22185	10.47712	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci2	Aci 2	ST2	KL2	ST2 KL2	TRUE	NO	10.26324	NO	NO	8.83	9.23	9.71	9.21	1	NO	NO	NO	NO	NO	NO
Aci3	Aci 3	ST2	KL3	ST2 KL3	TRUE	9.96	10.56427	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci4	Aci 4	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	6.977724	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	6.079181
Aci5	Aci 5	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci6	Aci 6	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci7	Aci 7	ST2	KL2	ST2 KL2	FALSE	NO	YES	NO	NO	YES	YES	YES	YES	NO	NO	NA	NO	NO	NO	NO
Aci8	Aci 8	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci9	Aci 9	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci10	Aci 10	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci11	Aci 11	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci12	Aci 12	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci13	Aci 13	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci14	Aci 14	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1
Aci15	Aci 15	ST2	KL3	ST2 KL3	TRUE	10.19189	10.63682	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci16	Aci 16	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci17	Aci 17	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci18	Aci 18	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci19	Aci 19	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci20	Aci 20	ST2	KL3	ST2 KL3	TRUE	9.948847	10.4523	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci21	Aci 21	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci22	Aci 22	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci23	Aci 23	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci24	Aci 24	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci25	Aci 25	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci26	Aci 26	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1
Aci27	Aci 27	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1	NO
Aci28	Aci 28	ST445	KL52	ST445 KL52	FALSE	NO	NO	NO	YES	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci29	Aci 29	ST445	KL52	ST445 KL52	FALSE	NO	NO	NO	YES	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci30	Aci 30	ST2	KL3	ST2 KL3	TRUE	10.07918	10.35539	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci31	Aci 31	ST1	KL1	ST1 KL1	TRUE	NO	NO	NO	NO	NO	NO	NO	10.3	1	NO	NO	NO	NO	NO	NO
Aci32	Aci 32	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci33	Aci 33	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci34	Aci 34	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NA	NA	NA	NO	NA	NO	NA	NA	NA
Aci35	Aci 35	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci36	Aci 36	ST2	KL3	ST2 KL3	TRUE	9.838149	10.47712	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci37	Aci 37	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci38	Aci 38	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci39	Aci 39	ST2	KL3	ST2 KL3	FALSE	YES	YES	NO	NO	NA	NO	NO	NO	NO	NO	NA	NO	NA	NA	NA
Aci41	Aci 41	ST2	KL2	ST2 KL2	TRUE	NO	10.36798	NO	NO	8.93	9.5	9.75	9.25	1	NO	NO	NO	NO	NO	NO
GCF_000369325.1	Aci 44	ST1	KL1	ST1 KL1	FALSE	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000368225.1	Aci 46	ST2	KL2	ST2 KL2	FALSE	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000369305.1	Aci 47	ST36	KL44	ST36 KL44	FALSE	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000369165.1	Aci 49	ST38	KL45	ST38 KL45	FALSE	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000369325.1	Aci 50	ST1	KL1	ST1 KL1	FALSE	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci53	Aci 53	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci54	Aci 54	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci55	Aci 55	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci56	Aci 56	ST2	KL3	ST2 KL3	TRUE	9.753328	10.54407	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci57	Aci 57	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci58	Aci 58	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci59	Aci 59	ST2	KL3	ST2 KL3	TRUE	10.29127	10.33579	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci60	Aci 60	ST2	KL3	ST2 KL3	TRUE	10.04576	10.5006	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci61	Aci 61	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci62	Aci 62	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci63	Aci 63	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci64	Aci 64	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci65	Aci 65	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci66	Aci 66	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci68	Aci 68	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci69	Aci 69	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci70	Aci 70	ST2	KL3	ST2 KL3	FALSE	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
