subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0001	1	[0,6]	553	756	2012	2063	3171	582	1481	1190	873	1108
subsample_0001	1	(6,12]	110	332	742	6825	11155	1864	4961	4295	2530	4330
subsample_0001	1	(12,40]	154	606	1743	11460	19895	2373	9087	4726	6734	8435
subsample_0002	1	[0,6]	604	523	1934	1925	2513	573	1352	1198	727	588
subsample_0002	1	(6,12]	78	452	744	7020	13513	1746	5274	4331	2689	6493
subsample_0002	1	(12,40]	142	505	1456	11060	19300	2053	9007	4321	6739	8240
subsample_0003	1	[0,6]	418	193	1158	226	273	61	165	66	160	47
subsample_0003	1	(6,12]	252	517	1146	3373	6181	760	2613	1681	1692	2808
subsample_0003	1	(12,40]	232	939	2153	16097	27705	4324	11773	8509	7588	11608
subsample_0004	1	[0,6]	547	777	2187	767	1203	272	495	438	329	436
subsample_0004	1	(6,12]	94	420	739	7582	12517	2527	5055	5053	2529	4935
subsample_0004	1	(12,40]	150	422	1510	11872	20259	2038	9834	4903	6969	8387
subsample_0005	1	[0,6]	414	125	808	157	179	59	98	62	95	22
subsample_0005	1	(6,12]	145	637	1269	1743	2361	598	1145	1177	566	618
subsample_0005	1	(12,40]	229	754	2116	17697	29735	4367	13330	9332	8365	12038
subsample_0006	1	[0,6]	562	548	1866	223	337	63	160	81	142	114
subsample_0006	1	(6,12]	119	529	889	5914	9633	2358	3556	4242	1672	3719
subsample_0006	1	(12,40]	180	536	1744	13585	25154	2097	11488	5719	7866	11569
subsample_0007	1	[0,6]	485	470	1954	1127	2110	338	789	582	545	983
subsample_0007	1	(6,12]	112	643	947	7472	11995	1996	5476	5152	2320	4523
subsample_0007	1	(12,40]	145	378	1384	11055	20116	1735	9320	4299	6756	9061
subsample_0008	1	[0,6]	447	243	1135	143	209	62	81	69	74	66
subsample_0008	1	(6,12]	121	674	1280	2735	4892	884	1851	1643	1092	2157
subsample_0008	1	(12,40]	239	887	2024	16906	28522	4540	12366	8987	7919	11616
subsample_0009	1	[0,6]	648	403	1891	261	362	59	202	104	157	101
subsample_0009	1	(6,12]	125	705	1207	6752	11113	2553	4199	4634	2118	4361
subsample_0009	1	(12,40]	194	606	1748	12305	21560	2223	10082	5353	6952	9255
subsample_0010	1	[0,6]	406	394	1118	113	138	40	73	44	69	25
subsample_0010	1	(6,12]	70	311	1007	2235	3512	683	1552	1448	787	1277
subsample_0010	1	(12,40]	264	723	2199	17674	30949	3811	13863	8760	8914	13275
subsample_0011	1	[0,6]	565	172	1274	155	175	52	103	54	101	20
subsample_0011	1	(6,12]	176	682	1166	2060	3099	619	1441	1288	772	1039
subsample_0011	1	(12,40]	256	800	2051	17638	31352	4121	13517	9364	8274	13714
subsample_0012	1	[0,6]	505	232	1430	193	231	57	136	93	100	38
subsample_0012	1	(6,12]	93	758	1204	3306	6048	883	2423	1926	1380	2742
subsample_0012	1	(12,40]	245	786	2042	15837	27958	3655	12182	8015	7822	12121
subsample_0013	1	[0,6]	443	427	1091	107	131	50	57	51	56	24
subsample_0013	1	(6,12]	91	399	905	1731	2707	705	1026	1208	523	976
subsample_0013	1	(12,40]	205	868	2384	17652	30440	4159	13493	8581	9071	12788
subsample_0014	1	[0,6]	516	183	1472	275	394	66	209	103	172	119
subsample_0014	1	(6,12]	135	684	1189	6268	9610	2213	4055	4107	2161	3342
subsample_0014	1	(12,40]	175	510	1687	13786	25027	2390	11396	6177	7609	11241
subsample_0015	1	[0,6]	461	563	1766	222	243	83	139	84	138	21
subsample_0015	1	(6,12]	80	309	844	1980	3010	439	1541	970	1010	1030
subsample_0015	1	(12,40]	223	851	2237	16507	29233	4018	12489	8191	8316	12726
subsample_0016	1	[0,6]	413	151	976	156	206	83	73	99	57	50
subsample_0016	1	(6,12]	103	612	1382	2662	4914	852	1810	1806	856	2252
subsample_0016	1	(12,40]	187	694	1908	16514	28391	3688	12826	8266	8248	11877
subsample_0017	1	[0,6]	481	219	1026	125	133	43	82	45	80	8
subsample_0017	1	(6,12]	145	593	1332	763	964	309	454	483	280	201
subsample_0017	1	(12,40]	264	865	2220	18866	31844	4323	14543	9527	9339	12978
subsample_0018	1	[0,6]	562	590	1962	806	1197	208	598	292	514	391
subsample_0018	1	(6,12]	82	563	849	7240	11989	2172	5068	5047	2193	4749
subsample_0018	1	(12,40]	133	510	1575	11401	20076	2037	9364	4671	6730	8675
subsample_0019	1	[0,6]	559	535	1674	269	331	81	188	100	169	62
subsample_0019	1	(6,12]	82	407	904	4468	7502	737	3731	2419	2049	3034
subsample_0019	1	(12,40]	197	803	2027	14232	25171	3953	10279	7524	6708	10939
subsample_0020	1	[0,6]	452	152	1170	110	129	43	67	46	64	19
subsample_0020	1	(6,12]	133	761	1300	1225	1778	383	842	785	440	553
subsample_0020	1	(12,40]	235	931	2208	18228	31668	4578	13650	9436	8792	13440
subsample_0021	1	[0,6]	381	123	683	106	123	47	59	51	55	17
subsample_0021	1	(6,12]	300	612	1433	583	735	227	356	315	268	152
subsample_0021	1	(12,40]	271	936	2213	18745	32571	4694	14051	9866	8879	13826
subsample_0022	1	[0,6]	553	732	2172	702	1200	238	464	400	302	498
subsample_0022	1	(6,12]	106	766	1143	8045	13997	2630	5415	5468	2577	5952
subsample_0022	1	(12,40]	139	382	1270	10423	18814	1844	8579	4461	5962	8391
subsample_0023	1	[0,6]	524	612	1703	258	349	56	202	73	185	91
subsample_0023	1	(6,12]	96	303	735	4713	8057	1368	3345	2946	1767	3344
subsample_0023	1	(12,40]	192	547	1816	14474	24896	3117	11357	7060	7414	10422
subsample_0024	1	[0,6]	627	408	1632	283	372	66	217	84	199	89
subsample_0024	1	(6,12]	102	488	1137	4246	7695	1377	2869	2792	1454	3449
subsample_0024	1	(12,40]	222	626	1819	15277	25614	3184	12093	7508	7769	10337
subsample_0025	1	[0,6]	518	255	1239	186	213	55	131	76	110	27
subsample_0025	1	(6,12]	125	648	1251	2771	4936	749	2022	1711	1060	2165
subsample_0025	1	(12,40]	214	780	2008	15969	27727	4040	11929	8751	7218	11758
subsample_0026	1	[0,6]	527	481	1568	300	430	89	211	126	174	130
subsample_0026	1	(6,12]	118	232	661	4909	8453	1462	3447	3034	1875	3544
subsample_0026	1	(12,40]	223	628	1791	15232	26424	3243	11989	7382	7850	11192
subsample_0027	1	[0,6]	715	546	1997	410	530	127	283	202	208	120
subsample_0027	1	(6,12]	86	705	1034	6066	9927	2348	3718	4276	1790	3861
subsample_0027	1	(12,40]	181	546	1704	13145	23119	2423	10722	5856	7289	9974
subsample_0028	1	[0,6]	568	144	1210	233	270	77	156	90	143	37
subsample_0028	1	(6,12]	111	752	1045	1911	3625	616	1295	1326	585	1714
subsample_0028	1	(12,40]	235	966	2257	16403	28004	4301	12102	8501	7902	11601
subsample_0029	1	[0,6]	434	526	1970	304	472	102	202	132	172	168
subsample_0029	1	(6,12]	120	478	1003	8280	12352	2455	5825	5333	2947	4072
subsample_0029	1	(12,40]	173	524	1493	11692	20741	2101	9591	4915	6777	9049
subsample_0030	1	[0,6]	539	313	1630	300	431	106	194	128	172	131
subsample_0030	1	(6,12]	117	768	1136	5604	10006	2032	3572	3747	1857	4402
subsample_0030	1	(12,40]	179	574	1831	12832	22526	2725	10107	6060	6772	9694
subsample_0031	1	[0,6]	393	162	912	150	165	83	67	88	62	15
subsample_0031	1	(6,12]	173	541	1260	700	928	314	386	464	236	228
subsample_0031	1	(12,40]	292	982	2382	18834	33519	4764	14070	10139	8695	14685
subsample_0032	1	[0,6]	638	588	1866	189	257	51	138	62	127	68
subsample_0032	1	(6,12]	89	496	900	2771	4808	763	2008	1848	923	2037
subsample_0032	1	(12,40]	229	725	2088	16985	28990	4142	12843	8418	8567	12005
subsample_0033	1	[0,6]	615	626	1991	329	529	101	228	161	168	200
subsample_0033	1	(6,12]	108	609	1183	7419	12178	2464	4955	5001	2418	4759
subsample_0033	1	(12,40]	143	409	1590	11146	21026	2108	9038	4936	6210	9880
subsample_0034	1	[0,6]	499	506	1955	1059	1415	302	757	543	516	356
subsample_0034	1	(6,12]	128	635	973	8155	13431	2528	5627	5583	2572	5276
subsample_0034	1	(12,40]	120	589	1554	10708	20529	2064	8644	4621	6087	9821
subsample_0035	1	[0,6]	499	614	1840	401	451	114	287	173	228	50
subsample_0035	1	(6,12]	89	476	804	3572	4086	1502	2070	2769	803	514
subsample_0035	1	(12,40]	200	603	1927	15210	28154	3170	12040	7258	7952	12944
subsample_0036	1	[0,6]	496	365	1676	216	285	76	140	107	109	69
subsample_0036	1	(6,12]	100	493	905	2832	4711	858	1974	2039	793	1879
subsample_0036	1	(12,40]	269	632	2003	16755	29240	3542	13213	8213	8542	12485
subsample_0037	1	[0,6]	520	177	1109	181	205	64	117	81	100	24
subsample_0037	1	(6,12]	105	691	1338	1940	3371	502	1438	1084	856	1431
subsample_0037	1	(12,40]	163	654	2032	17148	29249	3950	13198	8757	8391	12101
subsample_0038	1	[0,6]	601	512	1899	486	719	149	337	236	250	233
subsample_0038	1	(6,12]	75	647	1042	7025	11604	2371	4654	4728	2297	4579
subsample_0038	1	(12,40]	197	543	1625	11377	20696	2175	9202	4759	6618	9319
subsample_0039	1	[0,6]	409	212	1174	172	195	52	120	54	118	23
subsample_0039	1	(6,12]	101	564	874	1654	2439	511	1143	1063	591	785
subsample_0039	1	(12,40]	184	652	2128	17439	29778	3979	13460	8412	9027	12339
subsample_0040	1	[0,6]	426	485	1391	134	171	50	84	57	77	37
subsample_0040	1	(6,12]	94	367	1106	2116	3423	614	1502	1271	845	1307
subsample_0040	1	(12,40]	211	906	2133	17372	29503	4005	13367	8929	8443	12131
subsample_0041	1	[0,6]	293	77	538	76	84	22	54	24	52	8
subsample_0041	1	(6,12]	199	566	1353	1194	2025	211	983	515	679	831
subsample_0041	1	(12,40]	272	643	2085	18926	32294	4668	14258	9997	8929	13368
subsample_0042	1	[0,6]	424	371	1611	316	381	74	242	104	212	65
subsample_0042	1	(6,12]	81	346	759	4028	7000	1363	2665	2704	1324	2972
