subsample	bootstrap	mrca	same_country	different_country_same_continent	different_continent
subsample_0001	1	[0,6]	2012	2063	1108
subsample_0001	1	(6,12]	742	6825	4330
subsample_0001	1	(12,40]	1743	11460	8435
subsample_0002	1	[0,6]	1934	1925	588
subsample_0002	1	(6,12]	744	7020	6493
subsample_0002	1	(12,40]	1456	11060	8240
subsample_0003	1	[0,6]	1158	226	47
subsample_0003	1	(6,12]	1146	3373	2808
subsample_0003	1	(12,40]	2153	16097	11608
subsample_0004	1	[0,6]	2187	767	436
subsample_0004	1	(6,12]	739	7582	4935
subsample_0004	1	(12,40]	1510	11872	8387
subsample_0005	1	[0,6]	808	157	22
subsample_0005	1	(6,12]	1269	1743	618
subsample_0005	1	(12,40]	2116	17697	12038
subsample_0006	1	[0,6]	1866	223	114
subsample_0006	1	(6,12]	889	5914	3719
subsample_0006	1	(12,40]	1744	13585	11569
subsample_0007	1	[0,6]	1954	1127	983
subsample_0007	1	(6,12]	947	7472	4523
subsample_0007	1	(12,40]	1384	11055	9061
subsample_0008	1	[0,6]	1135	143	66
subsample_0008	1	(6,12]	1280	2735	2157
subsample_0008	1	(12,40]	2024	16906	11616
subsample_0009	1	[0,6]	1891	261	101
subsample_0009	1	(6,12]	1207	6752	4361
subsample_0009	1	(12,40]	1748	12305	9255
subsample_0010	1	[0,6]	1118	113	25
subsample_0010	1	(6,12]	1007	2235	1277
subsample_0010	1	(12,40]	2199	17674	13275
subsample_0011	1	[0,6]	1274	155	20
subsample_0011	1	(6,12]	1166	2060	1039
subsample_0011	1	(12,40]	2051	17638	13714
subsample_0012	1	[0,6]	1430	193	38
subsample_0012	1	(6,12]	1204	3306	2742
subsample_0012	1	(12,40]	2042	15837	12121
subsample_0013	1	[0,6]	1091	107	24
subsample_0013	1	(6,12]	905	1731	976
subsample_0013	1	(12,40]	2384	17652	12788
subsample_0014	1	[0,6]	1472	275	119
subsample_0014	1	(6,12]	1189	6268	3342
