subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0001	1	[0,2]	113	25	138	12	12	12	0	12	0	0
subsample_0001	1	(2,6]	76	254	330	25	25	23	2	25	0	0
subsample_0001	1	(6,40]	47	278	325	326	326	304	22	326	0	0
subsample_0002	1	[0,2]	72	16	88	8	8	8	0	8	0	0
subsample_0002	1	(2,6]	63	128	191	12	12	12	0	12	0	0
subsample_0002	1	(6,40]	51	307	358	478	478	445	33	478	0	0
subsample_0003	1	[0,2]	84	9	93	9	9	9	0	9	0	0
subsample_0003	1	(2,6]	103	119	222	16	16	16	0	16	0	0
subsample_0003	1	(6,40]	49	472	521	474	474	443	31	474	0	0
subsample_0004	1	[0,2]	135	12	147	1	1	1	0	1	0	0
subsample_0004	1	(2,6]	90	185	275	4	4	4	0	4	0	0
subsample_0004	1	(6,40]	37	365	402	330	330	311	19	330	0	0
subsample_0005	1	[0,2]	91	23	114	2	2	2	0	2	0	0
subsample_0005	1	(2,6]	52	132	184	1	1	1	0	1	0	0
subsample_0005	1	(6,40]	50	227	277	377	377	341	36	377	0	0
subsample_0006	1	[0,2]	132	17	149	2	2	2	0	2	0	0
subsample_0006	1	(2,6]	98	138	236	8	8	8	0	8	0	0
subsample_0006	1	(6,40]	32	328	360	323	323	285	38	323	0	0
subsample_0007	1	[0,2]	93	30	123	0	0	0	0	0	0	0
subsample_0007	1	(2,6]	56	178	234	7	7	7	0	7	0	0
subsample_0007	1	(6,40]	36	234	270	259	259	229	30	259	0	0
subsample_0008	1	[0,2]	79	14	93	9	9	9	0	9	0	0
subsample_0008	1	(2,6]	98	150	248	9	9	9	0	9	0	0
subsample_0008	1	(6,40]	66	360	426	416	416	378	38	416	0	0
subsample_0009	1	[0,2]	127	16	143	2	2	2	0	2	0	0
subsample_0009	1	(2,6]	76	136	212	7	7	7	0	7	0	0
subsample_0009	1	(6,40]	64	368	432	291	291	280	11	291	0	0
subsample_0010	1	[0,2]	49	17	66	4	4	4	0	4	0	0
subsample_0010	1	(2,6]	27	82	109	14	14	14	0	14	0	0
subsample_0010	1	(6,40]	61	354	415	403	403	375	28	403	0	0
subsample_0011	1	[0,2]	94	22	116	2	2	2	0	2	0	0
subsample_0011	1	(2,6]	49	170	219	6	6	6	0	6	0	0
