assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	city_pooled
A14	NA	158.4	Acinetobacter baumannii	NA	TRUE	2018-02	Romania	NA	NCBI	4071708	0.389	486	205	292638	135471	11696	99.8	470	Acinetobacter baumannii	62.93	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	RO	ST2-KL3	2018-02-08	2018	TRUE	unknown (RO)
AB100	NA	26.31	Acinetobacter baumannii	NA	TRUE	2020-08-18	Hungary	city11	This study	4021014	0.389	980	77	462938	159566	14888	99.8	470	Acinetobacter baumannii	89.61	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-08-17	2020	TRUE	city11 (HU)
AB101	NA	33.4	Acinetobacter baumannii	NA	TRUE	2020-10-06	Hungary	city11	This study	4009896	0.389	520	75	462882	159566	19556	99.8	470	Acinetobacter baumannii	90.67	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-10-05	2020	TRUE	city11 (HU)
AB102	NA	31.92	Acinetobacter baumannii	NA	TRUE	2020-10-08	Hungary	city11	This study	4010759	0.389	980	75	462748	159566	19556	99.8	470	Acinetobacter baumannii	89.33	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-10-08	2020	TRUE	city11 (HU)
AB11	NA	34.1	Acinetobacter baumannii	NA	TRUE	2016-02-04	Hungary	city9	This study	4013366	0.39	400	70	464470	139552	25310	99.7	470	Acinetobacter baumannii	71.43	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3')-Ia|aph(3')-VIa	blaADC-25|blaOXA-512|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	NA	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Europe	Eastern Europe	HU	ST2-KL2	2016-02-04	2016	TRUE	city9 (HU)
AB112	NA	37.99	Acinetobacter baumannii	NA	TRUE	2020-09-08	Hungary	city11	This study	4016171	0.388	420	79	462747	159566	14889	99.8	470	Acinetobacter baumannii	88.61	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-09-08	2020	TRUE	city11 (HU)
AB113	NA	35.3	Acinetobacter baumannii	NA	TRUE	2020-11-11	Hungary	city11	This study	4008673	0.389	520	73	462718	159566	19788	99.8	470	Acinetobacter baumannii	90.41	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-11	2020	TRUE	city11 (HU)
AB114	NA	43.34	Acinetobacter baumannii	NA	TRUE	2020-07-14	Hungary	city11	This study	4019093	0.389	520	79	462938	159566	13785	99.8	470	Acinetobacter baumannii	91.14	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-07-14	2020	TRUE	city11 (HU)
AB115	NA	40	Acinetobacter baumannii	NA	TRUE	2020-11-08	Hungary	city11	This study	4010353	0.389	870	76	462938	159566	19556	99.8	470	Acinetobacter baumannii	89.47	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-07	2020	TRUE	city11 (HU)
AB116	NA	44.04	Acinetobacter baumannii	NA	TRUE	2020-11-13	Hungary	city11	This study	4011079	0.389	520	76	462938	159566	19556	99.8	470	Acinetobacter baumannii	89.47	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-12	2020	TRUE	city11 (HU)
