Taxon,Cluster
GCA_016479205_1,1
GCA_019506665_1,1
GCA_016481245_1,1
GCF_008830835_1,1
GCA_018517965_1,1
GCF_002992585_1,1
GCA_016479745_1,1
GCA_019314925_1,1
GCA_017365665_1,1
GCA_019317525_1,1
GCA_020803215_1,1
GCF_003356635_1,1
GCA_017119205_1,1
GCA_017835615_1,1
GCA_018286075_1,1
GCA_019506925_1,1
GCA_020569245_1,1
GCA_019082905_1,1
GCA_016511575_1,1
GCA_019316405_1,1
GCA_024123755_1,1
GCA_018868385_1,1
GCF_002992505_1,1
GCA_016976255_1,1
GCA_018285815_1,1
GCF_005784625_1,1
GCA_018868645_1,1
GCA_021336675_1,1
GCA_017835995_1,1
GCF_011683365_1,1
GCA_016639515_1,1
GCA_018869185_1,1
GCF_013618685_1,1
GCA_016544645_1,1
GCF_005784755_1,1
GCF_003356085_1,1
GCA_023387195_1,1
GCA_020781215_1,1
GCA_016974135_1,1
GCA_016480965_1,1
GCA_016477825_1,1
GCA_019506905_1,1
GCA_018868565_1,1
GCA_023308985_1,1
GCA_016480025_1,1
GCA_021388675_1,1
GCA_017362205_1,1
GCA_016470515_1,1
GCA_016479625_1,1
GCA_016974455_1,1
GCF_003356685_1,1
GCF_017169435_1,1
GCF_013618725_1,1
GCA_016475105_1,1
GCA_016482455_1,1
GCA_016479245_1,1
GCA_016544405_1,1
GCA_019317545_1,1
GCF_017169415_1,1
GCF_005784745_1,1
GCA_016484105_1,1
GCF_004378525_1,1
GCF_018106125_1,1
GCA_016512835_1,1
GCA_016478165_1,1
GCA_016482505_1,1
GCA_016609465_1,1
GCA_023756185_1,1
GCA_018285975_1,1
GCA_019507265_1,1
GCA_021221905_1,1
GCA_017119645_1,1
GCA_021336575_1,1
GCA_017362505_1,1
GCF_024296445_1,1
GCA_016479725_1,1
GCF_003356975_1,1
GCF_003356645_1,1
GCA_019742295_1,1
GCA_016512875_1,1
GCA_022871765_1,1
GCA_019081325_1,1
GCA_019316585_1,1
GCA_016481425_1,1
GCA_016544265_1,1
GCF_005784655_1,1
GCA_016482665_1,1
GCA_020780735_1,1
GCF_002992525_1,1
GCA_016480005_1,1
GCA_018285655_1,1
GCA_022474615_1,1
GCA_018868525_1,1
GCA_020894875_1,1
GCA_020895055_1,1
GCA_016974335_1,1
GCA_019742235_1,1
GCA_016480505_1,1
GCA_020040025_1,1
GCA_020576985_1,1
GCA_016974535_1,1
GCA_016608865_1,1
GCA_020218835_1,1
GCF_003356045_1,1
GCA_016544045_1,1
GCF_015694645_1,1
GCA_016497325_1,1
GCF_000969285_1,1
GCA_020569195_1,1
GCA_017119765_1,1
GCA_016480805_1,1
GCA_020040565_1,1
GCA_023054015_1,1
GCA_016482625_1,1
GCA_016489665_1,1
GCA_016479385_1,1
GCA_017364085_1,1
GCA_016479765_1,1
GCA_016609525_1,1
GCA_016481005_1,1
GCA_020577445_1,1
GCA_016512755_1,1
GCA_016474945_1,1
GCA_020041065_1,1
GCA_019742215_1,1
GCA_016974435_1,1
